Tahun,Komoditi,Unit Kuantiti,Kuantiti Eksport,Nilai Eksport,Kuantiti Import,Nilai Import
2018,Gula tebu dan gula ubi,Tan Metrik,115322.29,199126480,2064405.35,2972386784
2018,Madu,Tan Metrik,254.54,3999550,3433.37,55285092
2018,Laktos,Tan Metrik,214.07,1036296,8982.74,39950958
2018,Molass,Tan Metrik,2103.16,3480885,20418.45,36537520
2018,"Glukos,fruktos,maltos",Tan Metrik,1628.52,6206718,96597.88,190181985
2018,Sediaan gula,Tan Metrik,2610.25,41185869,8025.56,92268926
2018,Hasil gula lain,Tan Metrik,91560.56,550712988,61827.52,403465535
2018,Kopi dan penggantinya,Tan Metrik,129360.95,2136742940,130133.52,1460968214
2018,Teh,Tan Metrik,5648.62,124366396,27021.52,348620941
2018,Koko,Tan Metrik,429103.19,4400490964,426299.82,3755316499
2018,Coklat dan sediaan koko,Tan Metrik,73748.82,1150716689,30036.84,615109525
2018,Ketumbar,Tan Metrik,452.81,2369137,16939.18,83977173
2018,Jintan,Tan Metrik,198.86,2921994,3276.48,32728494
2018,"Lada hitam, putih dan hijau ",Tan Metrik,11725.13,200729155,2584.24,47030451
2018,Cili kering,Tan Metrik,1865.49,16212356,42698.17,326205133
2018,Kunyit,Tan Metrik,139.74,1464676,7962.22,47087186
2018,"Lain kopi, koko, teh, rempah",Tan Metrik,13767.91,194504698,16383.92,252885624
2018,Jagung Tidak termasuk jagung manis ,Tan Metrik,558.01,778834,1516998.38,1369772673
2018,Hampas kacang soya,Tan Metrik,24679.74,43984350,1379680.86,2381838392
2018,Hampas gandum,Tan Metrik,12563.69,12465736,103958.32,129197072
2018,Hampas kacang tanah,Tan Metrik,352.25,290382,0.6,8226
2018,Hampas rapeseed,Tan Metrik,874.9,1227302,6206.09,5983531
2018,Hampas kelapa dan kopra,Tan Metrik,2334.54,2458251,1454.82,1802158
2018,Hampas daging,Tan Metrik,1378.19,4645595,77446.81,261541873
2018,Hampas isirung kelapa sawit,Tan Metrik,2401051.26,1135324999,26999.54,34196184
2018,Makanan ternakan lain,Tan Metrik,329166.29,743931059,493631.02,1685336050
2018,Marjerin dan Lemak,Tan Metrik,385366.68,1516676887,38736.83,57885424
2018,Makanan bayi,Tan Metrik,16560.08,229870574,62327.55,401057413
2018,Sos,Tan Metrik,83863.65,721153363,68108.22,539122807
2018,Sup,Tan Metrik,5274.02,47428152,692.15,10103917
2018,"Mi,mihun,pasta",Tan Metrik,1772.22,18134490,16562.39,90807894
2018,Makanan tambahan,Tan Metrik,9589.65,349092408,75469.03,783673765
2018,Yis,Tan Metrik,7249.29,19260823,8601.91,71773409
2018,Susu isian,Tan Metrik,327460.89,1320211798,9544.9,94612124
2018,Sarang burung,Tan Metrik,198.84,426570426,10.12,165408
2018,Lain-lain makanan lain,Tan Metrik,356273.93,3255558880,259373.11,3654226616
2019,Lembu dan Kerbau  ,Ekor,902,1124881,37957,115616809
2019,Babi  ,Ekor,56650,56856030,37,314483
2019,Ayam dan itik ,Ekor,60570630,766235402,1561135,66464835
2019,Daging Lembu dan Kerbau  ,Tan Metrik,4427,72657209,159184.39,2008360881
2019,Daging Kambing dan Bebiri  ,Tan Metrik,31.91,577919,31348.73,679476044
2019,Daging Babi  ,Tan Metrik,1748.49,29952992,18187.32,223286539
2019,Daging Ayam dan Itik  ,Tan Metrik,42015.38,553497246,72580.54,663319838
2019,Daging Ayam Turki  ,Tan Metrik,167.2,1535368,378.21,6795547
2019,Daging lain  ,Tan Metrik,4654.85,58019864,4113.78,50723207
2019,Susu Segar,Tan Metrik,6791.66,27701841,30192.8,113559683
2019,"Lain-lain susu, krim dan produk susu",Tan Metrik,162470.99,1173626841,326877.14,3066414364
2019,"Mentega, Lain-lain Minyak dan lemak dari tenusu",Tan Metrik,5500.4,103338558,19010.89,440068389
2019,Keju dan dadih,Tan Metrik,813.53,21542377,27494.49,528864575
2019,Telur unggas,Tan Metrik,110366.39,610302168,3595.36,23516788
2019,Ikan hidup,Tan Metrik,2803.8,47166444,1957.44,20039904
2019,Ikan segar,Tan Metrik,96735.23,607841570,276087.37,2405467035
2019,Ikan kering,Tan Metrik,5892.23,89585216,18015.37,151903874
2019,Krustasea dan moluska,Tan Metrik,99613.62,1860829846,84070.79,1300144853
2019,"Sediaan ikan, krustasea dan moluska",Tan Metrik,45267.29,790813184,39690.84,600370657
2019,"Lain-lain produk ikan, krustasea dan moluska",Tan Metrik,42364.16,223636410,21844.14,120553147
2019,Beras,Tan Metrik,24856.63,44865586,960310.41,1871892991
2019,Tepung beras,Tan Metrik,190.47,715727,5029.51,19023334
2019,Gandum dan meslin,Tan Metrik,440,714558,1385925.63,1589943321
